Trip Date,Trip Year,Trip Month,Day Name,Is Weekend,Service Type,Pickup Borough,Trip Count,Total Revenue,Total Fare Amount,Total Tip Amount,Avg Revenue Per Trip,Avg Fare Amount,Avg Tip Percentage,Avg Revenue Per Mile,Avg Trip Distance,Avg Trip Duration Minutes,Revenue Per Trip
2025-02-03,2025,2,Monday,false,green,Brooklyn,163,3976.22,3020.31,415.95,24.39,18.53,15.69,10.57,3.08,24.63,24.39
2025-02-03,2025,2,Monday,false,green,Manhattan,1109,24339.17,17093.58,2914.23,21.95,15.41,17.68,11.86,2.47,24.5,21.95
2025-02-03,2025,2,Monday,false,green,Queens,309,7531.21,6031.33,554.99,24.37,19.52,11.61,10.57,3.62,23.75,24.37
2025-02-03,2025,2,Monday,false,green,Unknown,1,15.7,14.2,0.0,15.7,14.2,0.0,7.48,2.1,18.0,15.7
2025-02-03,2025,2,Monday,false,yellow,Bronx,585,19555.29,17750.89,14.61,33.43,30.34,0.22,30.02,7.17,33.79,33.43
2025-02-03,2025,2,Monday,false,yellow,Brooklyn,1992,59988.32,54282.67,984.02,30.11,27.25,1.95,29.88,46.69,29.28,30.11
2025-02-03,2025,2,Monday,false,yellow,Manhattan,80195,1822238.46,1160126.29,219738.84,22.72,14.47,21.12,19.06,2.89,13.1,22.72
2025-02-03,2025,2,Monday,false,yellow,Queens,9321,644888.48,466074.84,76988.28,69.19,50.0,15.68,11.61,11.93,34.47,69.19
2025-02-03,2025,2,Monday,false,yellow,Staten Island,5,143.48,115.66,0.0,28.7,23.13,0.0,4.79,6.78,19.0,28.7
2025-02-03,2025,2,Monday,false,yellow,Unknown,194,5625.39,3850.4,645.01,29.0,19.85,21.51,13.27,4.41,22.2,29.0
2025-02-04,2025,2,Tuesday,false,green,Bronx,15,261.65,163.04,8.78,17.44,10.87,5.38,11.2,2.51,21.93,17.44
2025-02-04,2025,2,Tuesday,false,green,Brooklyn,165,4315.44,3159.33,443.62,26.15,19.15,16.36,19.46,356.8,27.84,26.15
2025-02-04,2025,2,Tuesday,false,green,Manhattan,1113,24950.14,17436.51,3093.04,22.42,15.67,18.07,12.49,2.41,19.23,22.42
2025-02-04,2025,2,Tuesday,false,green,Queens,294,7024.64,5331.22,569.44,23.89,18.13,12.72,10.82,3.28,16.05,23.89
2025-02-04,2025,2,Tuesday,false,green,Unknown,1,18.4,8.6,3.05,18.4,8.6,35.47,15.33,1.2,7.0,18.4
2025-02-04,2025,2,Tuesday,false,yellow,Bronx,412,14419.65,13178.45,61.87,35.0,31.99,0.41,18.73,7.91,38.33,35.0
2025-02-04,2025,2,Tuesday,false,yellow,Brooklyn,1889,56569.64,51141.64,895.15,29.95,27.07,2.52,32.58,26.84,31.82,29.95
